ID,FullDate,DateOnly,Platform,ClouCover
RegionBB_1,2024-01-29T10:35:48.498Z,2024-01-29,sentinel-2b,100.0
RegionBB_1,2024-01-27T10:45:43.259Z,2024-01-27,sentinel-2a,99.41
RegionBB_1,2024-01-24T10:35:44.254Z,2024-01-24,sentinel-2a,99.62
RegionBB_1,2024-01-22T10:45:47.892Z,2024-01-22,sentinel-2b,0.13
RegionBB_1,2024-01-19T10:35:49.907Z,2024-01-19,sentinel-2b,65.12
RegionBB_1,2024-01-17T10:45:40.229Z,2024-01-17,sentinel-2a,72.62
RegionBB_1,2024-01-14T10:35:43.982Z,2024-01-14,sentinel-2a,7.8
RegionBB_1,2024-01-12T10:45:46.558Z,2024-01-12,sentinel-2b,59.02
RegionBB_1,2024-01-09T10:35:49.205Z,2024-01-09,sentinel-2b,1.13
RegionBB_1,2024-01-07T10:45:44.523Z,2024-01-07,sentinel-2a,0.02
RegionBB_1,2024-01-04T10:35:47.141Z,2024-01-04,sentinel-2a,99.87
RegionBB_1,2024-01-02T10:45:49.284Z,2024-01-02,sentinel-2b,99.41
RegionBB_2,2024-01-29T10:35:48.498Z,2024-01-29,sentinel-2b,100.0
RegionBB_2,2024-01-29T10:35:44.897Z,2024-01-29,sentinel-2b,99.99
RegionBB_2,2024-01-27T10:45:43.259Z,2024-01-27,sentinel-2a,99.41
RegionBB_2,2024-01-27T10:45:38.244Z,2024-01-27,sentinel-2a,99.56
RegionBB_2,2024-01-24T10:35:44.254Z,2024-01-24,sentinel-2a,99.62
RegionBB_2,2024-01-24T10:35:40.652Z,2024-01-24,sentinel-2a,90.88
RegionBB_2,2024-01-22T10:45:47.892Z,2024-01-22,sentinel-2b,0.13
RegionBB_2,2024-01-22T10:45:42.869Z,2024-01-22,sentinel-2b,12.09
RegionBB_2,2024-01-19T10:35:49.907Z,2024-01-19,sentinel-2b,65.12
RegionBB_2,2024-01-19T10:35:46.313Z,2024-01-19,sentinel-2b,54.07
